IONQ
JNJ
NVDA
MSFT
ARES
AMCR
CB
FCNCA
JNJ
LIN
PEP
SPGI
WAT
MA
NSIT
EQT
AJG
MA
SPGI
AJG
AJG
BSX
INTU
INTU
SPGI
MELI
NOW
MA
SPGI
SPGI
SPGI
INTU
INTU
SAP
INTU
SAP
SAP
MELI
DHR
ADSK
SPGI
AMZN
CMCSA
GEV
CMCSA
PTC
BAYRY
ASML
WWD
WWD
AER
HLT
ABT
HLT
AON
AON
AON
SHEL
PLXS
PAYX
EQH
GPN
SWK
BAX
GPC
IBM
CVX
CVX
LPLA
CVX
GOOGL
ROK
TMO
AVGO
SBUX
ETN
JNJ
META
AAPL
NDAQ
MCD
CSCO
KO
UNH
BSX
PGR
AMZN
INTU
SPGI
CRM
ORCL
AXP
TFC
GOOGL
DIS
MCO
COF
PANW
JPM
PG
ADP
PRU
KKR
ADSK
LOW
WFC
BX
IDXX
TSLA
ACN
MDLZ
HLT
PPG
INCY
MLM
VRT
LULU
WM
AJG
GPC
FTV
KEYS
HSIC
HOOD
DDOG
SQ
LRCX
TECH
CRL
MCHP
BAC
V
BRK/B
MA
ABBV
SCHW
ABT
MRSH
ADBE
SYK
HUBB
NOW
AMP
CDNS
AMGN
ICE
SNPS
HCA
CTAS
APO
ECL
BKNG
CTSH
MMM
CSX
IBM
META
PLTR
TTWO
NKE
MET
CMG
COR
RJF
PH
TT
VMC
STT
F
ZTS
MDT
EW
IP
EMR
NXPI
EL
TROW
MSCI
GPN
DG
VRTX
HAS
RCL
DRI
J
APP
ABNB
FSLR
GDDY
WBD
MAA
SYF
KDP
WSM
CARR
DPZ
PTC
OTIS
PHM
TTD
DXCM
NCLH
A
LKQ
DHI
AZO
CAG
RMD
MOH
STE
CSGP
CCL
HSY
BAX
CRH
ZBRA
MCHP
UAL
GIS
MKC
MHK
ELV
BLDR
GEN
BAC
MA
V
KO
MCD
MRK
PM
LOW
AMAT
LIN
UNH
NVDA
ABT
CRM
AJG
UPS
GRMN
ORCL
DHR
NKE
SCHW
AMCR
APO
KDP
BSX
LULU
ICE
AMZN
PG
EFX
A
MET
TSCO
PYPL
KKR
FISV
ABNB
IQV
IBM
DOW
SQ
GPN
CSGP
VRT
CIEN
LITE
ADCT
TSLA
ACI
AVAV
ACI
AVAV
ACI
CSCO
BRK/B
HD
TMO
JPM
GIS
PAYX
STZ
WFC
MNST
MU
CPRT
MDT
WAT
CMG
PNC
PFG
APP
USB
COF
HPE
FLT
POOL
DIS
IEX
HRL
EXPD
LULU
APTV
DDOG
DAL
CVNA
AXP
MU
COO
ACGL
MPWR
DECK
NDAQ
HOOD
MU
LUV
AME
AXTA
CCL
MCHP
NDAQ
BEN
INCY
WSM
UAL
APD
CI
SWK
ERIE
NDAQ
KVUE
MCHP
ABT
HD
UNH
ISRG
KO
AMZN
BKNG
ADP
ACN
LULU
AIG
CRM
SPGI
BX
PANW
AJG
INVH
ROP
APO
PRU
KKR
ICE
CPRT
APP
AZO
CCEP
IT
PYPL
CTSH
NGG
SHEL
DIS
RIO
COF
AZN
ADSK
AXP
WFC
WM
BR
AFL
FDS
GPN
SQ
VRSK
CSGP
WRB
EW
WDAY
JPM
MCO
SNPS
IP
VRSN
AMP
NVO
TYL
SNDK
DHI
CBRE
HIG
HUM
TJX
BDX
MCD
INTC
LW
GPC
CVNA
TTD
MOS
KHC
FLT
ROL
APD
MSCI
ECL
VRTX
V
MA
IBM
FISV
BRK/B
MRSH
ORCL
BSX
ADBE
SYK
PAYX
LOW
UDR
ORLY
MAA
WDC
BAC
CMG
SHW
CRWD
FICO
KLAC
LULU
PM
T
PGR
MCK
FTNT
MET
MNST
ADRNY
TSCO
DASH
ERIE
SBUX
EQR
CHTR
CTAS
ZBH
MDT
IBDRY
GDDY
MLM
GEN
ENLAY
TROW
PG
NEM
ABB
NKE
JCI
VCISY
TT
AXAHY
PODD
STE
CMPGY
AVB
AON
BEN
COR
DELL
TFC
DECK
POOL
NTAP
FTV
DXCM
DRI
COIN
ZTS
GEHC
DHR
A
WSM
EPAM
BRO
SIEGY
ING
TM
NVS
LEN
SMFKY
SMCI
RMD
INTU
ZBRA
SMFG
TSM
SBGSY
IDEXY
BWXT
KLAC
COF
NEE
MRVL
XEL
CEG
HON
ORCL
DDOG
HD
INFY
MA
NFLX
AVAV
PG
UNH
PM
CRM
NVDA
AVGO
AMD
HD
INFY
MA
NFLX
AVAV
PG
UNH
PM
CRM
NVR
HD
INFY
MA
NFLX
ATD.TO
PG
UNH
UNH
WFC
RCI
FHN
APD
ALC
CBZ
COLB
XNGSY
FN
FWRG
HDB
IFNNY
0522.HK
LZB
NTES
PHR
SE
NOW
AMZN
BP
BP
ORLY
NFLX
NFLX
PYPL
PYPL
TTD
TTD
PEP
ABT
ADI
ADI
ADP
ADP
BLK
HD
HD
JNJ
JNJ
LHX
LHX
MSFT
MSFT
NEE
UNH
UNH
HD
IBM
JNJ
PPG
GOOGL
ACN
AEIS
AEIS
AMD
ALAB
AGIO
BABA
AMZN
AMZN
AMZN
APO
APP
APP
ADM
ARQT
ANET
ATRC
AVNT
AZTA
BRK/B
BRK/B
SQ
BKNG
BOOT
BBIO
BBIO
BBIO
AVGO
CDRE
CATY
CENT
SKY
SCHW
CHTR
CTSH
COHR
CAG
GLW
CSGP
ALAB
CRWD
CSWI
DDOG
DBRG
DASH
DASH
DASH
DASH
LLY
EPAC
EPAM
EFX
RE
FN
FDS
FICO
FSS
FIS
ASJA.F
AZZA3.SA
FISV
FLEX
FTNT
FOXA
IT
GTES
GMED
GDDY
HALO
HLI
IDA
IBM
ITT
KVUE
KEY
LGN
LGND
LPLA
LULU
MTSI
MTSI
MELI
MELI
MIAX
MU
MSFT
TAP
NWE
NVDA
NVDA
OMC
PLTR
PLTR
PLTR
PANW
PSKY
PATK
PAYC
PYPL
PFE
PRIM
RBC
HOOD
ROP
SNDK
SMTC
SARO
SUPN
TNDM
TEL
TSLA
TXRH
CI
TTD
COCO
TDG
TDG
TYL
UBER
UFPI
RARE
UPS
UNH
VCYT
VRSN
VIAV
VIAV
WRB
WAT
WFC
WDAY
ZTS
TECH
BJ
BJ
EME
EME
EME
ENTG
MLM
NDAQ
NDAQ
NDAQ
NDAQ
NDAQ
NDAQ
PKG
PKG
ROL
SGI
SGI
SGI
SGI
STE
TSCO
TSCO
TSCO
AAPL
AAPL
AAPL
AAPL
AAPL
AAPL
AAPL
ACN
BDX
CTSH
CMCSA
EXAS
ICLR
IVZ
IQV
KVUE
MDT
PRGS
BZG2.MU
TROW
TXN
NVDA
PNC
FDS
FDS
FDS
AXP
T
MSFT
ERIE
MU
MSFT
ERIE
GOOGL
AMZN
IBP
KR
MMM
BRK/B
AMZN
AAPL
T
BRK/B
PYPL
ROP
ROP
ROP
GEHC
CBRL
HOG
DNUT
LGIH
LGIH
LGIH
LGIH
BZG2.MU
BZG2.MU
UBER
PYPL
ONON
NFLX
MSFT
META
LLY
BX
ADSK
CVX
CVX
FITB
HD
IBP
LRCX
MPC
MPC
PH
RPM
RPM
ADBE
EEFT
PYPL
PINS
NOW
UNH
ACN
WFC
WBD
GOOGL
FCNCA
LIN
WAT
AMD
AAPL
PLTR
URI
CADE
HBAN
MSFT
MSFT
CVNA
NET
CMI
XOM
XOM
FICO
FSS
GEV
IFNNY
INTU
MRK
MSFT
MNST
PANW
UNH
V
GOOGL
CB
NWL
AAPL
MMM
MMM
AMD
AAPL
T
BA
AVGO
CSCO
CMI
EXE
DINO
HUM
ICLR
ICE
IBM
INTU
BBT
MKC
META
MSFT
PEP
PM
PG
PEG
REGN
CRM
TSM
TTWO
TRV
URI
VST
GE
GEV
AMZN
AMZN
BRCM
C
C
C
IBM
IBM
PANW
SHOP
THC
BK
BK
FTNT
V
LH
SCHW
MU
AVGO
WAL
